BatchNo,AreaPattern,Count
波次1,"(7, 9, 13, 14, 17)",1.0
波次1,"(7, 2, 3, 4, 8, 9, 11)",2.0
波次1,"(7, 3, 5, 7, 8, 17)",1.0
波次1,"(7, 1, 3, 5, 8, 11)",1.0
波次1,"(7, 3, 4, 7, 8, 9)",1.0
波次1,"(7, 3, 11, 12, 13, 14)",1.0
波次1,"(7, 4, 7, 11, 13, 14)",1.0
波次1,"(7, 4, 5, 9, 11, 13)",1.0
波次1,"(7, 1, 2, 5, 7, 8)",2.0
波次1,"(7, 5, 8, 11, 14, 17)",1.0
波次1,"(7, 3, 5, 9, 11, 13, 17)",1.0
波次1,"(7, 1, 2, 9, 11, 14)",1.0
波次1,"(7, 3, 4, 5, 7, 11, 14)",2.0
波次1,"(7, 3, 8, 9, 11, 17)",2.0
波次1,"(7, 2, 9, 13, 14, 17)",1.0
波次1,"(7, 3, 8, 11, 14, 17)",1.0
波次1,"(7, 2, 3, 5, 9, 11, 17)",1.0
波次1,"(7, 9, 11, 13, 14, 17)",1.0
波次1,"(7, 5, 8, 13, 14, 17)",1.0
波次1,"(7, 2, 3, 7, 8, 11, 17)",1.0
波次1,"(7, 2, 8, 11, 13, 14, 17)",1.0
波次1,"(7, 3, 7, 11, 13, 17)",1.0
波次1,"(7, 1, 2, 3, 7, 9)",1.0
波次1,"(7, 2, 4, 5, 7, 9, 14)",1.0
波次1,"(7, 8, 9, 13, 14, 17)",1.0
波次1,"(7, 3, 7, 8, 9, 12)",1.0
波次1,"(7, 3, 11, 13, 14, 17)",1.0
波次1,"(7, 2, 3, 5, 9, 17)",2.0
波次1,"(7, 2, 3, 5, 8, 14, 17)",2.0
波次1,"(7, 3, 5, 11, 14, 17)",1.0
波次1,"(7, 3, 7, 9, 17)",1.0
波次1,"(7, 5, 8, 11, 12, 13)",1.0
波次1,"(7, 3, 8, 9, 13, 14, 17)",1.0
波次1,"(7, 4, 7, 8, 9, 13, 14)",2.0
波次1,"(7, 2, 4, 9, 13, 14)",2.0
波次1,"(7, 3, 5, 7, 11, 17)",1.0
波次1,"(7, 3, 4, 5, 8, 11, 14)",1.0
波次1,"(7, 5, 9, 12, 13)",2.0
波次1,"(7, 3, 8, 9, 11, 12, 14)",1.0
波次1,"(7, 5, 7, 13, 14, 17)",1.0
波次1,"(7, 3, 4, 9, 11, 13)",1.0
波次1,"(7, 2, 4, 8, 9, 14)",1.0
波次1,"(7, 3, 4, 5, 8, 11, 13)",1.0
波次1,"(7, 3, 7, 8, 9, 11, 12)",1.0
波次1,"(7, 7, 9, 12, 13, 14)",2.0
波次1,"(7, 3, 6, 9, 11, 12, 14)",1.0
波次1,"(7, 2, 4, 8, 9, 11)",1.0
波次1,"(7, 3, 5, 7, 8, 11, 12)",1.0
波次1,"(7, 4, 5, 11, 13, 14)",1.0
波次1,"(7, 2, 5, 12, 13, 14)",1.0
波次1,"(7, 2, 3, 4, 5, 14)",1.0
波次1,"(7, 3, 4, 5, 11, 13, 14)",1.0
波次1,"(7, 2, 3, 4, 5, 11)",1.0
波次1,"(7, 4, 7, 9, 11, 13)",1.0
波次1,"(7, 3, 5, 8, 11, 14, 17)",1.0
波次1,"(7, 2, 3, 5, 7, 17)",1.0
波次1,"(7, 2, 9, 11, 14, 17)",1.0
波次1,"(7, 5, 7, 11, 12, 13, 14)",1.0
波次1,"(7, 2, 3, 9, 14, 17)",1.0
波次1,"(7, 2, 3, 5, 7, 12, 14)",1.0
波次1,"(7, 3, 5, 7, 8, 12, 13)",1.0
波次1,"(7, 2, 9, 11, 12, 14)",1.0
波次1,"(7, 9, 11, 12, 14)",1.0
波次1,"(7, 3, 4, 7, 8, 14)",3.0
波次1,"(7, 2, 3, 8, 9, 11, 12)",1.0
波次1,"(7, 2, 3, 11, 13, 14, 17)",1.0
波次1,"(7, 2, 3, 9, 11, 12, 13)",1.0
波次1,"(7, 5, 8, 9, 11, 17)",1.0
波次1,"(7, 5, 8, 9, 13, 17)",1.0
波次1,"(7, 2, 5, 8, 9, 12, 14)",1.0
波次1,"(7, 3, 4, 5, 8, 11)",1.0
波次1,"(7, 9, 11, 12, 13, 14)",1.0
波次1,"(7, 2, 7, 8, 9, 11, 17)",2.0
波次1,"(7, 3, 5, 7, 9, 11, 12)",1.0
波次1,"(7, 3, 4, 8, 9, 11, 14)",1.0
波次1,"(7, 3, 5, 11, 12, 14)",1.0
波次1,"(7, 3, 9, 11, 12, 13, 14)",1.0
波次1,"(7, 4, 7, 9, 11, 13, 14)",1.0
波次1,"(7, 3, 4, 5, 8, 9, 14)",1.0
波次1,"(7, 3, 5, 7, 13, 14, 17)",1.0
波次1,"(7, 2, 3, 4, 8, 11, 14)",1.0
